"","name","id","label","nodeid","group","pagerank"
"1",1,"BarbosaLeandro",3,"Barbosa, Leandro",0,54.5688635753646
"2",2,"BarnesHarrison",7,"Barnes, Harrison",1,65.0637855796281
"3",3,"BogutAndrew",7,"Bogut, Andrew",1,57.4295826587174
"4",4,"ClarkIan",3,"Clark, Ian",0,44.4602192962506
"5",5,"CurryStephen",3,"Curry, Stephen",0,164.75845845261
"6",6,"EzeliFestus",7,"Ezeli, Festus",1,35.5512535835339
"7",7,"GreenDraymond",7,"Green, Draymond",1,150.736280731017
"8",8,"IguodalaAndre",7,"Iguodala, Andre",1,91.7594653735028
"9",9,"LivingstonShaun",3,"Livingston, Shaun",0,98.6065655187619
"10",10,"LooneyKevon",7,"Looney, Kevon",1,11.2676594997774
"11",11,"McAdooJames Michael",7,"McAdoo, James Michael",1,19.2221801542184
"12",12,"RushBrandon",7,"Rush, Brandon",1,42.2480470512752
"13",13,"SpeightsMarreese",7,"Speights, Marreese",1,49.8524235571893
"14",14,"ThompsonKlay",3,"Thompson, Klay",0,101.223956129859
"15",15,"VarejaoAnderson",7,"Varejao, Anderson",1,13.2512588382945
