name,id,label
"Rush, Brandon",RushBrandon,7
"Thompson, Klay",ThompsonKlay,3
"Barbosa, Leandro",BarbosaLeandro,3
"Green, Draymond",GreenDraymond,7
"Speights, Marreese",SpeightsMarreese,7
"Bogut, Andrew",BogutAndrew,7
"McAdoo, James Michael",McAdooJames Michael,7
"Curry, Stephen",CurryStephen,3
"Iguodala, Andre",IguodalaAndre,7
"Varejao, Anderson",VarejaoAnderson,7
"Clark, Ian",ClarkIan,3
"Ezeli, Festus",EzeliFestus,7
"Livingston, Shaun",LivingstonShaun,3
"Looney, Kevon",LooneyKevon,7
"Barnes, Harrison",BarnesHarrison,7
